frame_a_label,frame_b_label,lfi_score_exact,lfi_score_lemma,frame_a_count_exact,frame_b_count_exact,frame_a_count_lemma,frame_b_count_lemma,lfi_total_hits_exact,lfi_total_hits_lemma,article_id,pair_id,outlet,topic,frame,lfi_score,frame_a_count,frame_b_count,lfi_total_hits
concern,skeptical,0.2,0.0,3,2,2,2,5,4,art_217,env_004,BBC,environment,concern,0.0,2,2,4
concern,skeptical,0.8,0.5,9,1,9,3,10,12,art_218,env_004,Fox News,environment,skeptical,0.5,9,3,12
concern,skeptical,1.0,0.3333,3,0,2,1,3,3,art_219,env_004,Global Times,environment,neutral,0.3333,2,1,3
concern,skeptical,1.0,1.0,3,0,3,0,3,3,art_220,env_004,Straits Times,environment,concern,1.0,3,0,3
concern,skeptical,1.0,1.0,1,0,2,0,1,2,art_221,env_004,South China Morning Post,environment,concern,1.0,2,0,2
concern,skeptical,0.75,0.8182,7,1,10,1,8,11,art_222,env_004,The Guardian,environment,concern,0.8182,10,1,11
concern,skeptical,1.0,1.0,2,0,3,0,2,3,art_223,env_004,Le Monde,environment,concern,1.0,3,0,3
concern,skeptical,1.0,1.0,3,0,2,0,3,2,art_224,env_004,News24,environment,neutral,1.0,2,0,2
concern,skeptical,1.0,1.0,1,0,3,0,1,3,art_225,env_004,The Hindu,environment,concern,1.0,3,0,3
concern,skeptical,0.8571,0.9259,13,1,26,1,14,27,art_226,env_005,BBC,environment,concern,0.9259,26,1,27
concern,skeptical,1.0,0.6667,6,0,5,1,6,6,art_227,env_005,Al Jazeera,environment,concern,0.6667,5,1,6
concern,skeptical,-1.0,0.3333,0,1,2,1,1,3,art_228,env_005,Reuters,environment,neutral,0.3333,2,1,3
concern,skeptical,1.0,0.7647,22,0,15,2,22,17,art_229,env_005,The Hindu,environment,concern,0.7647,15,2,17
concern,skeptical,0.6364,0.6667,9,2,10,2,11,12,art_230,env_005,Le Monde,environment,concern,0.6667,10,2,12
concern,skeptical,1.0,1.0,4,0,9,0,4,9,art_231,env_005,Fox News,environment,concern,1.0,9,0,9
concern,skeptical,1.0,1.0,11,0,13,0,11,13,art_232,env_005,Straits Times,environment,neutral,1.0,13,0,13
concern,skeptical,0.0,1.0,0,0,1,0,0,1,art_233,env_005,Global Times,environment,concern,1.0,1,0,1
concern,skeptical,0.6,0.7143,4,1,6,1,5,7,art_234,env_005,CNN,environment,concern,0.7143,6,1,7
concern,skeptical,1.0,1.0,6,0,4,0,6,4,art_235,env_005,Reuters,environment,concern,1.0,4,0,4
concern,skeptical,0.0,0.7143,1,1,6,1,2,7,art_236,env_005,The Guardian,environment,concern,0.7143,6,1,7
concern,skeptical,0.0,0.0,0,0,1,1,0,2,art_237,env_005,News24,environment,neutral,0.0,1,1,2
